Date,Open,High,Low,Close,Adj Close,Volume
2000-05-15,3635.030029,3635.030029,3259.179932,3260.639893,3260.639893,3852920000
2000-05-22,3261.469971,3298.459961,2897.270020,3101.439941,3101.439941,7665180000
2000-05-29,3101.429932,3759.810059,3101.429932,3755.669922,3755.669922,6474540000
2000-06-05,3742.280029,3817.250000,3599.530029,3760.260010,3760.260010,7158210000
2000-06-12,3761.149902,3817.850098,3582.520020,3787.360107,3787.360107,7007910000
2000-06-19,3787.360107,3990.209961,3669.399902,3685.300049,3685.300049,7632320000
2000-06-26,3685.300049,3840.540039,3634.030029,3763.790039,3763.790039,8070490000
2000-07-03,3763.790039,3884.840088,3610.270020,3841.270020,3841.270020,4912370000
2000-07-10,3841.510010,4051.899902,3720.020020,4041.149902,4041.149902,8446600000
2000-07-17,4041.149902,4089.040039,3835.120117,3908.750000,3908.750000,7797600000
2000-07-24,3908.750000,3966.830078,3452.949951,3477.310059,3477.310059,8246960000
2000-07-31,3477.530029,3715.570068,3341.830078,3618.629883,3618.629883,7598570000
2000-08-07,3618.629883,3780.429932,3521.530029,3644.610107,3644.610107,6981850000
2000-08-14,3644.629883,3868.739990,3616.709961,3807.510010,3807.510010,6875350000
2000-08-21,3809.860107,3986.729980,3760.120117,3931.250000,3931.250000,6977080000
2000-08-28,3933.330078,4147.189941,3921.489990,4099.299805,4099.299805,7775590000
2000-09-04,4085.889893,4085.889893,3811.600098,3813.439941,3813.439941,6568470000
2000-09-11,3813.439941,3852.449951,3610.649902,3676.330078,3676.330078,8213880000
2000-09-18,3676.330078,3810.300049,3505.179932,3701.179932,3701.179932,8903760000
2000-09-25,3753.310059,3774.780029,3533.669922,3570.610107,3570.610107,9568280000
2000-10-02,3613.739990,3613.860107,3262.800049,3311.939941,3311.939941,9631040000
2000-10-09,3306.750000,3359.929932,2990.989990,3277.770020,3277.770020,9852060000
2000-10-16,3265.959961,3514.959961,2982.040039,3456.610107,3456.610107,10760270000
2000-10-23,3451.399902,3498.040039,2956.199951,3175.250000,3175.250000,9997780000
2000-10-30,3128.939941,3359.989990,3038.409912,3321.909912,3321.909912,9985360000
2000-11-06,3346.149902,3369.469971,2890.020020,2890.260010,2890.260010,8709340000
2000-11-13,2798.949951,3128.370117,2742.469971,2934.810059,2934.810059,8824140000
2000-11-20,2838.290039,2885.310059,2667.110107,2830.090088,2830.090088,6132400000
2000-11-27,2910.570068,2913.760010,2426.409912,2549.739990,2549.739990,10640500000
